아이디,관리번호,공원명,공원구분,소재지 도로명주소,소재지 지번주소,읍면동명,읍면동아이디,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,특이사항,데이터 기준일자,좌표,이미지명
PN010,11470-00011,오솔길공원,근린공원,,서울특별시 양천구 신월동 977,신월7동,11150630,37.521151,126.836556,18719.98,야외헬스형운동기구20개+게이트볼장2개+배드민턴장2개,,음수대+정자2개+파고라2개+평상+화장실,,관리사무소,1982-12-29,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.836556 37.521151),PN010.jpeg
PN011,11470-00010,한울근린공원,근린공원,,서울특별시 양천구 신월동 956,신월7동,11150630,37.519799,126.832525,16792.16,야외헬스형운동기구26개,건너는기구+기타놀이기구5개+미끄럼틀2개+오르는기구2개+조합놀이터,정자2개+평상+화장실,,경로당,1982-12-29,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.832525 37.519799),PN011.jpeg
PN012,11470-00014,신트리공원,근린공원,,서울특별시 양천구 신정동 310-7,신정1동,11150640,37.514612,126.856483,17843.87,야외헬스형운동기구22개,,화장실+그네의자,도시농업시설2개,지압길,1983-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.856483 37.514612),PN012.jpeg
PN013,11470-00016,계남공원,근린공원,,서울특별시 양천구 신정동 521,신정3동,11150660,37.514104,126.850051,,야외헬스형운동기구171개+게이트볼장2개+농구장+배드민턴장27개+족구장+축구장,건너는기구4개+그네+기타놀이기구4개+오르는기구7개+조합놀이터5개+흔들놀이기구3개,그네의자2개+약수터3개+음수대5개+정자9개+파고라18개+평상7개+피크닉테이블18개+화장실4개,도서관2개+야외무대+유아동네숲터,경로당+관리사무소2개+수경시설2개+재난관리시설2개+조경시설+지압길+흙먼지털이기4개,2000-04-28,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.850051 37.514104),PN013.jpeg
PN014,11470-00017,넘은들공원,근린공원,,서울특별시 양천구 신정동 1286,신정3동,11150660,37.513034,126.840467,16176.31,야외헬스형운동기구19개+다목적운동장,,음수대+파고라3개+화장실,도서관+유아동네숲터,지압길,2002-06-25,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.840467 37.513034),PN014.jpeg
PN015,11470-00018,연의공원,근린공원,,서울특별시 양천구 신정동 1320-9,신정3동,11150660,37.512717,126.833542,,야외헬스형운동기구17개,미끄럼틀,음수대+정자2개+파고라5개+화장실,도시농업시설2개+생태체험관+유아용인조잔디장,,2005-12-29,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.833542 37.512717),PN015.jpeg
PN016,11470-00013,양천공원,근린공원,,서울특별시 양천구 신정동 320,신정6동,11150690,37.518012,126.868162,33586.83,야외헬스형운동기구21개+농구장2개+배드민턴장3개,그네3개+기타놀이기구3개+미끄럼틀2개+조합놀이터,음수대+파고라5개+화장실,도서관+실내놀이터+야외무대,조경시설+타임캡슐,1983-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.868162 37.518012),PN016.jpeg
PN017,11470-00019,갈산공원,근린공원,,서울특별시 양천구 신정동 162-56,신정7동,11150700,37.50836,126.869014,,야외헬스형운동기구46개+다목적운동장,그네+기타놀이기구10개+조합놀이터+흔들놀이기구3개,음수대+정자2개+파고라5개+평상2개+피크닉테이블3개+화장실2개,실내놀이터+야외무대+어린이교통공원,관리사무소+수경시설+흙먼지털이기,1971-08-06,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.869014 37.508360),PN017.jpeg
PS001,11470-00093,신월2동소공원,소공원,,서울특별시 양천구 신월동 1063-3,신월2동,11150580,37.517649,126.848293,3001.19,야외헬스형운동기구4개,,파고라,,,2005-11-24,양천구 공원녹지과,02-2620-3570,,2022-10-06,POINT(126.848293 37.517649),PS001.jpeg
PS002,,신월6동소공원1,소공원,,서울특별시 양천구 신월동 1078-2,신월6동,11150620,37.517261,126.843217,4862.74,야외헬스형운동기구3개,,,,,2020-09-10,양천구 공원녹지과,02-2620-3570,,2022-10-06,POINT(126.843217 37.517261),PS002.jpeg
PS003,,신월6동소공원2,소공원,,서울특별시 양천구 신월동 1077-3,신월6동,11150620,37.516725,126.844484,1704.44,야외헬스형운동기구5개,,,,,2020-09-10,양천구 공원녹지과,02-2620-3570,,2022-10-06,POINT(126.844484 37.516725),PS003.jpeg
PS004,,신월6동소공원3,소공원,,서울특별시 양천구 신월동 1077-5,신월6동,11150620,37.515737,126.843973,6034.92,,,파고라,,,2020-09-10,양천구 공원녹지과,02-2620-3570,,2022-10-06,POINT(126.843973 37.515737),PS004.jpeg
PS005,11470-00094,신정소공원,소공원,,서울특별시 양천구 신정동 1324-1,신정3동,11150660,37.506192,126.833035,5238.15,야외헬스형운동기구8개,,파고라,,,2012-12-21,양천구 공원녹지과,02-2620-3570,,2022-10-06,POINT(126.833035 37.506192),PS005.jpeg
PS006,11470-00095,신정7동소공원,소공원,,서울특별시 양천구 신정동 1325-2,신정7동,11150700,37.510721,126.869612,2481.98,,,파고라,,,2014-06-26,양천구 공원녹지과,02-2620-3570,,2022-10-06,POINT(126.869612 37.510721),PS006.jpeg
PT001,11470-00006,파리공원,문화공원,,서울특별시 양천구 목동 906,목5동,11150710,37.535016,126.877154,,야외헬스형운동기구32개+농구장2개+탁구대2개,,음수대+파고라5개,살롱드파리+책쉼터,관리사무소+미세먼지쉼터+민방위급수시설+서울광장+수경시설+파리광장,1983-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.877154 37.535016),PT001.jpeg
PT002,,장수공원,기타,,서울특별시 양천구 신월동 894,신월2동,11150580,37.522468,126.847043,,야외헬스형운동기구25개+족구장+지압길,,음수대+파고라4개+화장실,,관리사무소+수경시설2개,1989-01-14,,,,2022-11-10,POINT(126.847043 37.522468),PT002.jpeg
PT005,11470-00001,온수도시자연공원,도시자연공원구역,,서울특별시 양천구 신월동 산 85-4,신월7동,11150630,37.514628,126.836199,72521.17,야외헬스형운동기구11개,,정자+파고라,도시농업시설+유아동네숲터,,1986-11-03,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.836199 37.514628),PT005.jpeg
PT006,,안양천공원,강변공원,,서울특별시 양천구 신정동 871,신정2동,11150650,37.522877,126.879048,,야외헬스형운동기구107개+게이트볼장2개+골프장2개+농구장2개+야구장2개+양궁장+인라인스케이트장2개+족구장+축구장,건너는기구6개+그네,그네의자2개+음수대14개+파고라31개+피크닉장+화장실9개,,바이크라운지+반려견쉼터+산책로+세족장2개+수경시설3개+조경시설+지압길3개+황토길+흙먼지털이기2개,,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.879048 37.522877),PT006.jpeg
PT003,,서서울호수공원,문화공원,,서울특별시 양천구 신월동 149-20,신월3동,11150590,37.528443,126.830473,,야외헬스형운동기구77개+게이트볼장2개+농구장+배드민턴장4개+야구장+족구장2개+지압길3개+풋살장,그네+기타놀이기구7개+조합놀이터+흔들놀이기구,음수대6개+정자10개+파고라8개+평상+피크닉테이블+화장실5개,책방,관리사무소2개+다목적실+수경시설6개+안내소2개+흙먼지털이기,2004-05-31,서울특별시 서부공원여가센터,02-2604-3004,,2022-11-10,POINT(126.830473 37.528443),PT003.jpeg
PT004,,양천도시농업공원,도시농업공원,,서울특별시 양천구 신월동 산174-1,신월7동,11150630,37.512982,126.826174,,,,파고라4개+평상4개+피크닉테이블+화장실,농기구보관소3개+도시농업교육센터+도시농업시설4개+장독대+퇴비장,,2018-12-20,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.826174 37.512982),PT004.jpeg
